id,jour,ordre conditions,ordre histoires,condition,histoire,scoreMax,scoreCumule,scoreMoyen,nbRepet
2,2,c 2130,s 3012,1,0,1.0,2.0,1.0,2
2,2,c 2130,s 3012,1,0,1.0,1.0,1.0,1
2,2,c 2130,s 3012,1,0,1.0,1.0,1.0,1
2,1,c 2130,s 3012,3,1,0,0,0,0
2,1,c 2130,s 3012,3,1,0,0,0,0
2,1,c 2130,s 3012,3,1,0,0,0,0
2,1,c 2130,s 3012,0,2,0,0,0,0
2,1,c 2130,s 3012,0,2,0,0,0,0
2,1,c 2130,s 3012,0,2,0,0,0,0
2,2,c 2130,s 3012,3,1,1.0,1.0,1.0,1
2,2,c 2130,s 3012,3,1,1.0,1.0,1.0,1
2,2,c 2130,s 3012,3,1,1.0,1.0,1.0,1
3,2,c 0312,s 0321,0,0,1.0,5.0,1.0,5
3,2,c 0312,s 0321,0,0,1.0,1.0,1.0,1
3,2,c 0312,s 0321,0,0,1.0,2.821428571428571,0.9404761904761904,3
3,2,c 0312,s 0321,2,1,1.0,5.0,1.0,5
3,2,c 0312,s 0321,2,1,0,0,0,0
3,2,c 0312,s 0321,2,1,1.0,1.0,1.0,1
3,2,c 0312,s 0321,3,3,0.875,0.875,0.875,1
3,2,c 0312,s 0321,3,3,0,0,0,0
3,2,c 0312,s 0321,3,3,0.8214285714285714,0.8214285714285714,0.8214285714285714,1
3,1,c 0312,s 0321,1,2,1.0,1.0,1.0,1
3,1,c 0312,s 0321,1,2,0,0,0,0
3,1,c 0312,s 0321,1,2,0,0,0,0
3,1,c 0312,s 0321,2,1,1.0,1.0,1.0,1
3,1,c 0312,s 0321,2,1,0,0,0,0
3,1,c 0312,s 0321,2,1,1.0,1.0,1.0,1
3,2,c 0312,s 0321,1,2,1.0,2.0,1.0,2
3,2,c 0312,s 0321,1,2,1.0,1.0,1.0,1
3,2,c 0312,s 0321,1,2,0.875,1.75,0.875,2
3,1,c 0312,s 0321,3,3,0.75,0.75,0.75,1
3,1,c 0312,s 0321,3,3,0,0,0,0
3,1,c 0312,s 0321,3,3,0.7321428571428571,0.7321428571428571,0.7321428571428571,1
3,1,c 0312,s 0321,0,0,1.0,2.0,1.0,2
3,1,c 0312,s 0321,0,0,0.9107142857142857,0.9107142857142857,0.9107142857142857,1
3,1,c 0312,s 0321,0,0,1.0,2.0,1.0,2
4,2,c 0132,s 0231,3,3,1.0,4.0,1.0,4
4,2,c 0132,s 0231,3,3,1.0,3.0,1.0,3
4,2,c 0132,s 0231,3,3,0,0,0,0
4,2,c 0132,s 0231,1,2,1.0,3.0,1.0,3
4,2,c 0132,s 0231,1,2,1.0,1.0,1.0,1
4,2,c 0132,s 0231,1,2,1.0,3.0,1.0,3
4,1,c 0132,s 0231,1,2,1.0,1.0,1.0,1
4,1,c 0132,s 0231,1,2,1.0,1.0,1.0,1
4,1,c 0132,s 0231,1,2,1.0,1.0,1.0,1
4,1,c 0132,s 0231,0,0,1.0,1.0,1.0,1
4,1,c 0132,s 0231,0,0,1.0,1.0,1.0,1
4,1,c 0132,s 0231,0,0,1.0,2.0,1.0,2
4,1,c 0132,s 0231,3,3,0,0,0,0
4,1,c 0132,s 0231,3,3,0.4464285714285714,0,0,0
4,1,c 0132,s 0231,3,3,0.8214285714285714,0.8214285714285714,0.8214285714285714,1
4,1,c 0132,s 0231,2,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,1
4,1,c 0132,s 0231,2,1,1.0,2.0,1.0,2
4,1,c 0132,s 0231,2,1,1.0,1.0,1.0,1
4,2,c 0132,s 0231,0,0,0.875,0.875,0.875,1
4,2,c 0132,s 0231,0,0,1.0,1.0,1.0,1
4,2,c 0132,s 0231,0,0,1.0,1.0,1.0,1
4,2,c 0132,s 0231,2,1,1.0,1.0,1.0,1
4,2,c 0132,s 0231,2,1,1.0,1.0,1.0,1
4,2,c 0132,s 0231,2,1,1.0,1.0,1.0,1
5,2,c 3102,s 2310,1,3,1.0,1.0,1.0,1
5,2,c 3102,s 2310,1,3,1.0,4.0,1.0,4
5,2,c 3102,s 2310,1,3,1.0,4.0,1.0,4
5,1,c 3102,s 2310,1,3,0.2499999999999999,0,0,0
5,1,c 3102,s 2310,1,3,1.0,6.0,1.0,6
5,1,c 3102,s 2310,1,3,0,0,0,0
5,2,c 3102,s 2310,2,0,1.0,1.0,1.0,1
5,2,c 3102,s 2310,2,0,0.9107142857142857,3.642857142857143,0.9107142857142857,4
5,2,c 3102,s 2310,2,0,1.0,2.0,1.0,2
5,1,c 3102,s 2310,0,1,1.0,3.0,1.0,3
5,1,c 3102,s 2310,0,1,1.0,2.0,1.0,2
5,1,c 3102,s 2310,0,1,1.0,2.0,1.0,2
5,1,c 3102,s 2310,3,2,1.0,1.0,1.0,1
5,1,c 3102,s 2310,3,2,1.0,2.0,1.0,2
5,1,c 3102,s 2310,3,2,1.0,2.0,1.0,2
5,2,c 3102,s 2310,3,2,1.0,2.0,1.0,2
5,2,c 3102,s 2310,3,2,1.0,5.0,1.0,5
5,2,c 3102,s 2310,3,2,1.0,3.0,1.0,3
5,2,c 3102,s 2310,0,1,1.0,2.0,1.0,2
5,2,c 3102,s 2310,0,1,1.0,3.0,1.0,3
5,2,c 3102,s 2310,0,1,1.0,3.0,1.0,3
5,1,c 3102,s 2310,2,0,1.0,2.0,1.0,2
5,1,c 3102,s 2310,2,0,0.7857142857142857,1.5714285714285714,0.7857142857142857,2
5,1,c 3102,s 2310,2,0,1.0,1.0,1.0,1
6,1,c 2103,s 3021,0,2,1.0,1.0,1.0,1
6,1,c 2103,s 3021,0,2,1.0,3.0,1.0,3
6,1,c 2103,s 3021,0,2,1.0,1.0,1.0,1
6,2,c 2103,s 3021,2,3,1.0,2.0,1.0,2
6,2,c 2103,s 3021,2,3,1.0,4.0,1.0,4
6,2,c 2103,s 3021,2,3,1.0,2.821428571428571,0.9404761904761904,3
6,2,c 2103,s 3021,0,2,1.0,2.0,1.0,2
6,2,c 2103,s 3021,0,2,1.0,1.0,1.0,1
6,2,c 2103,s 3021,0,2,1.0,3.0,1.0,3
6,2,c 2103,s 3021,3,1,1.0,1.0,1.0,1
6,2,c 2103,s 3021,3,1,0,0,0,0
6,2,c 2103,s 3021,3,1,1.0,2.7857142857142856,0.9285714285714285,3
6,1,c 2103,s 3021,2,3,1.0,3.732142857142857,0.9330357142857143,4
6,1,c 2103,s 3021,2,3,1.0,3.0,1.0,3
6,1,c 2103,s 3021,2,3,1.0,2.732142857142857,0.9107142857142857,3
6,2,c 2103,s 3021,1,0,1.0,3.0,1.0,3
6,2,c 2103,s 3021,1,0,1.0,5.0,1.0,5
6,2,c 2103,s 3021,1,0,1.0,3.0,1.0,3
6,1,c 2103,s 3021,3,1,1.0,1.0,1.0,1
6,1,c 2103,s 3021,3,1,0,0,0,0
6,1,c 2103,s 3021,3,1,0.7857142857142857,2.357142857142857,0.7857142857142857,3
6,1,c 2103,s 3021,1,0,1.0,1.0,1.0,1
6,1,c 2103,s 3021,1,0,1.0,2.9107142857142856,0.9702380952380952,3
6,1,c 2103,s 3021,1,0,1.0,4.0,1.0,4
7,1,c 1023,s 1320,0,3,0,0,0,0
7,1,c 1023,s 1320,0,3,0,0,0,0
7,1,c 1023,s 1320,0,3,0.6964285714285714,0,0,0
7,2,c 1023,s 1320,1,1,1.0,1.0,1.0,1
7,2,c 1023,s 1320,1,1,0,0,0,0
7,2,c 1023,s 1320,1,1,1.0,1.7857142857142856,0.8928571428571428,2
7,2,c 1023,s 1320,3,0,1.0,9.0,1.0,9
7,2,c 1023,s 1320,3,0,0,0,0,0
7,2,c 1023,s 1320,3,0,0,0,0,0
7,1,c 1023,s 1320,3,0,1.0,15.0,1.0,15
7,1,c 1023,s 1320,3,0,0.9107142857142857,0.9107142857142857,0.9107142857142857,1
7,1,c 1023,s 1320,3,0,0,0,0,0
7,2,c 1023,s 1320,2,2,1.0,6.0,1.0,6
7,2,c 1023,s 1320,2,2,0,0,0,0
7,2,c 1023,s 1320,2,2,0,0,0,0
7,1,c 1023,s 1320,2,2,1.0,4.0,1.0,4
7,1,c 1023,s 1320,2,2,0.6607142857142857,0,0,0
7,1,c 1023,s 1320,2,2,0,0,0,0
7,1,c 1023,s 1320,1,1,1.0,5.0,1.0,5
7,1,c 1023,s 1320,1,1,0.7857142857142857,0.7857142857142857,0.7857142857142857,1
7,1,c 1023,s 1320,1,1,0,0,0,0
7,2,c 1023,s 1320,0,3,0,0,0,0
7,2,c 1023,s 1320,0,3,0,0,0,0
7,2,c 1023,s 1320,0,3,0,0,0,0
8,2,c 0231,s 0132,0,0,1.0,6.0,1.0,6
8,2,c 0231,s 0132,0,0,1.0,2.0,1.0,2
8,2,c 0231,s 0132,0,0,1.0,2.0,1.0,2
8,2,c 0231,s 0132,2,1,1.0,5.553571428571428,0.925595238095238,6
8,2,c 0231,s 0132,2,1,0,0,0,0
8,2,c 0231,s 0132,2,1,1.0,1.0,1.0,1
8,1,c 0231,s 0132,0,0,1.0,7.0,1.0,7
8,1,c 0231,s 0132,0,0,0,0,0,0
8,1,c 0231,s 0132,0,0,1.0,1.0,1.0,1
8,1,c 0231,s 0132,1,2,0.9107142857142857,3.642857142857143,0.9107142857142857,4
8,1,c 0231,s 0132,1,2,0,0,0,0
8,1,c 0231,s 0132,1,2,0.875,2.625,0.875,3
8,1,c 0231,s 0132,2,1,1.0,4.0,1.0,4
8,1,c 0231,s 0132,2,1,0,0,0,0
8,1,c 0231,s 0132,2,1,0,0,0,0
8,2,c 0231,s 0132,1,2,0.7857142857142857,0.7857142857142857,0.7857142857142857,1
8,2,c 0231,s 0132,1,2,1.0,1.0,1.0,1
8,2,c 0231,s 0132,1,2,1.0,3.0,1.0,3
8,1,c 0231,s 0132,3,3,0.3928571428571428,0,0,0
8,1,c 0231,s 0132,3,3,0,0,0,0
8,1,c 0231,s 0132,3,3,0,0,0,0
8,2,c 0231,s 0132,3,3,1.0,5.0,1.0,5
8,2,c 0231,s 0132,3,3,1.0,1.0,1.0,1
8,2,c 0231,s 0132,3,3,0.8214285714285714,3.2857142857142856,0.8214285714285714,4
9,1,c 2031,s 3210,2,3,1.0,2.0,1.0,2
9,1,c 2031,s 3210,2,3,0.8214285714285714,2.392857142857143,0.7976190476190476,3
9,1,c 2031,s 3210,2,3,0.7857142857142857,0.7857142857142857,0.7857142857142857,1
9,1,c 2031,s 3210,0,2,1.0,2.0,1.0,2
9,1,c 2031,s 3210,0,2,0,0,0,0
9,1,c 2031,s 3210,0,2,0,0,0,0
9,2,c 2031,s 3210,3,1,1.0,2.0,1.0,2
9,2,c 2031,s 3210,3,1,1.0,4.0,1.0,4
9,2,c 2031,s 3210,3,1,1.0,1.0,1.0,1
9,2,c 2031,s 3210,1,0,1.0,1.0,1.0,1
9,2,c 2031,s 3210,1,0,1.0,1.0,1.0,1
9,2,c 2031,s 3210,1,0,1.0,2.0,1.0,2
9,2,c 2031,s 3210,0,2,1.0,1.0,1.0,1
9,2,c 2031,s 3210,0,2,1.0,2.0,1.0,2
9,2,c 2031,s 3210,0,2,1.0,1.0,1.0,1
9,1,c 2031,s 3210,1,0,1.0,1.0,1.0,1
9,1,c 2031,s 3210,1,0,1.0,1.0,1.0,1
9,1,c 2031,s 3210,1,0,0,0,0,0
9,2,c 2031,s 3210,2,3,1.0,4.0,1.0,4
9,2,c 2031,s 3210,2,3,1.0,4.0,1.0,4
9,2,c 2031,s 3210,2,3,1.0,2.0,1.0,2
9,1,c 2031,s 3210,3,1,1.0,2.0,1.0,2
9,1,c 2031,s 3210,3,1,1.0,1.0,1.0,1
9,1,c 2031,s 3210,3,1,1.0,1.0,1.0,1
10,2,c 1230,s 1203,0,3,1.0,5.0,1.0,5
10,2,c 1230,s 1203,0,3,1.0,3.0,1.0,3
10,2,c 1230,s 1203,0,3,1.0,1.0,1.0,1
10,1,c 1230,s 1203,3,0,1.0,1.0,1.0,1
10,1,c 1230,s 1203,3,0,1.0,2.0,1.0,2
10,1,c 1230,s 1203,3,0,0,0,0,0
10,1,c 1230,s 1203,0,3,1.0,1.0,1.0,1
10,1,c 1230,s 1203,0,3,0,0,0,0
10,1,c 1230,s 1203,0,3,0,0,0,0
10,1,c 1230,s 1203,2,2,1.0,1.0,1.0,1
10,1,c 1230,s 1203,2,2,0,0,0,0
10,1,c 1230,s 1203,2,2,1.0,1.0,1.0,1
10,2,c 1230,s 1203,2,2,1.0,5.0,1.0,5
10,2,c 1230,s 1203,2,2,1.0,2.0,1.0,2
10,2,c 1230,s 1203,2,2,1.0,3.821428571428571,0.9553571428571428,4
10,2,c 1230,s 1203,3,0,1.0,4.0,1.0,4
10,2,c 1230,s 1203,3,0,0.9107142857142857,1.8214285714285714,0.9107142857142857,2
10,2,c 1230,s 1203,3,0,0,0,0,0
10,1,c 1230,s 1203,1,1,1.0,4.0,1.0,4
10,1,c 1230,s 1203,1,1,0,0,0,0
10,1,c 1230,s 1203,1,1,0.875,0.875,0.875,1
10,2,c 1230,s 1203,1,1,1.0,5.0,1.0,5
10,2,c 1230,s 1203,1,1,1.0,1.0,1.0,1
10,2,c 1230,s 1203,1,1,1.0,1.0,1.0,1
11,1,c 2301,s 3120,0,2,1.0,3.0,1.0,3
11,1,c 2301,s 3120,0,2,0.4642857142857143,0,0,0
11,1,c 2301,s 3120,0,2,0,0,0,0
11,2,c 2301,s 3120,2,3,1.0,5.0,1.0,5
11,2,c 2301,s 3120,2,3,1.0,2.0,1.0,2
11,2,c 2301,s 3120,2,3,1.0,1.0,1.0,1
11,2,c 2301,s 3120,1,0,1.0,4.0,1.0,4
11,2,c 2301,s 3120,1,0,1.0,3.0,1.0,3
11,2,c 2301,s 3120,1,0,1.0,3.0,1.0,3
11,2,c 2301,s 3120,3,1,0.8571428571428571,4.285714285714286,0.8571428571428571,5
11,2,c 2301,s 3120,3,1,0.3035714285714285,0,0,0
11,2,c 2301,s 3120,3,1,0,0,0,0
11,1,c 2301,s 3120,2,3,1.0,2.0,1.0,2
11,1,c 2301,s 3120,2,3,0,0,0,0
11,1,c 2301,s 3120,2,3,0,0,0,0
11,2,c 2301,s 3120,0,2,1.0,5.0,1.0,5
11,2,c 2301,s 3120,0,2,0,0,0,0
11,2,c 2301,s 3120,0,2,1.0,2.821428571428571,0.9404761904761904,3
11,1,c 2301,s 3120,3,1,0.8571428571428571,2.3035714285714284,0.7678571428571428,3
11,1,c 2301,s 3120,3,1,0,0,0,0
11,1,c 2301,s 3120,3,1,1.0,1.7857142857142856,0.8928571428571428,2
11,1,c 2301,s 3120,1,0,1.0,2.0,1.0,2
11,1,c 2301,s 3120,1,0,0,0,0,0
11,1,c 2301,s 3120,1,0,1.0,2.0,1.0,2
12,1,c 3012,s 2130,0,1,0.9107142857142857,3.589285714285714,0.8973214285714285,4
12,1,c 3012,s 2130,0,1,1.0,2.0,1.0,2
12,1,c 3012,s 2130,0,1,1.0,5.928571428571428,0.846938775510204,7
12,2,c 3012,s 2130,1,3,1.0,7.0,1.0,7
12,2,c 3012,s 2130,1,3,1.0,2.0,1.0,2
12,2,c 3012,s 2130,1,3,1.0,3.0,1.0,3
12,1,c 3012,s 2130,2,0,1.0,3.0,1.0,3
12,1,c 3012,s 2130,2,0,1.0,1.9107142857142856,0.9553571428571428,2
12,1,c 3012,s 2130,2,0,1.0,3.0,1.0,3
12,2,c 3012,s 2130,0,1,1.0,7.857142857142858,0.9821428571428572,8
12,2,c 3012,s 2130,0,1,1.0,2.0,1.0,2
12,2,c 3012,s 2130,0,1,1.0,2.0,1.0,2
12,1,c 3012,s 2130,1,3,0.8214285714285714,0.8214285714285714,0.8214285714285714,1
12,1,c 3012,s 2130,1,3,1.0,2.0,1.0,2
12,1,c 3012,s 2130,1,3,1.0,3.7142857142857144,0.9285714285714286,4
12,2,c 3012,s 2130,2,0,1.0,7.0,1.0,7
12,2,c 3012,s 2130,2,0,0.9107142857142857,3.642857142857143,0.9107142857142857,4
12,2,c 3012,s 2130,2,0,1.0,3.0,1.0,3
12,1,c 3012,s 2130,3,2,1.0,7.0,1.0,7
12,1,c 3012,s 2130,3,2,1.0,2.0,1.0,2
12,1,c 3012,s 2130,3,2,0.4464285714285714,0,0,0
12,2,c 3012,s 2130,3,2,1.0,4.642857142857142,0.9285714285714285,5
12,2,c 3012,s 2130,3,2,1.0,3.0,1.0,3
12,2,c 3012,s 2130,3,2,0.8571428571428571,3.4285714285714284,0.8571428571428571,4
13,2,c 1320,s 1023,1,1,0,0,0,0
13,2,c 1320,s 1023,1,1,0,0,0,0
13,2,c 1320,s 1023,1,1,0,0,0,0
13,2,c 1320,s 1023,2,2,0,0,0,0
13,2,c 1320,s 1023,2,2,0,0,0,0
13,2,c 1320,s 1023,2,2,0,0,0,0
13,1,c 1320,s 1023,3,0,0,0,0,0
13,1,c 1320,s 1023,3,0,0,0,0,0
13,1,c 1320,s 1023,3,0,0.7857142857142857,0.7857142857142857,0.7857142857142857,1
13,1,c 1320,s 1023,2,2,0,0,0,0
13,1,c 1320,s 1023,2,2,0,0,0,0
13,1,c 1320,s 1023,2,2,0,0,0,0
13,2,c 1320,s 1023,3,0,0,0,0,0
13,2,c 1320,s 1023,3,0,0,0,0,0
13,2,c 1320,s 1023,3,0,0.6964285714285714,0,0,0
13,1,c 1320,s 1023,1,1,0.875,1.5892857142857142,0.7946428571428571,2
13,1,c 1320,s 1023,1,1,1.0,1.0,1.0,1
13,1,c 1320,s 1023,1,1,0.6964285714285714,0,0,0
13,1,c 1320,s 1023,0,3,0,0,0,0
13,1,c 1320,s 1023,0,3,1.0,1.0,1.0,1
13,1,c 1320,s 1023,0,3,0,0,0,0
13,2,c 1320,s 1023,0,3,0,0,0,0
13,2,c 1320,s 1023,0,3,1.0,1.0,1.0,1
13,2,c 1320,s 1023,0,3,0,0,0,0
14,2,c 2310,s 3102,2,3,1.0,2.0,1.0,2
14,2,c 2310,s 3102,2,3,0.5892857142857142,0,0,0
14,2,c 2310,s 3102,2,3,1.0,3.0,1.0,3
14,1,c 2310,s 3102,0,2,1.0,3.7321428571428568,0.9330357142857142,4
14,1,c 2310,s 3102,0,2,1.0,3.625,0.90625,4
14,1,c 2310,s 3102,0,2,0.625,0,0,0
14,2,c 2310,s 3102,0,2,1.0,2.821428571428571,0.9404761904761904,3
14,2,c 2310,s 3102,0,2,1.0,3.0,1.0,3
14,2,c 2310,s 3102,0,2,0.7857142857142857,1.5714285714285714,0.7857142857142857,2
14,2,c 2310,s 3102,3,1,0.875,3.2142857142857144,0.8035714285714286,4
14,2,c 2310,s 3102,3,1,1.0,1.8571428571428572,0.9285714285714286,2
14,2,c 2310,s 3102,3,1,0.4464285714285714,0,0,0
14,1,c 2310,s 3102,1,0,1.0,3.0,1.0,3
14,1,c 2310,s 3102,1,0,0.4821428571428571,0,0,0
14,1,c 2310,s 3102,1,0,1.0,1.0,1.0,1
14,1,c 2310,s 3102,2,3,0.8214285714285714,2.4642857142857144,0.8214285714285715,3
14,1,c 2310,s 3102,2,3,0.5892857142857142,0,0,0
14,1,c 2310,s 3102,2,3,0.8214285714285714,0.8214285714285714,0.8214285714285714,1
14,1,c 2310,s 3102,3,1,1.0,1.875,0.9375,2
14,1,c 2310,s 3102,3,1,0,0,0,0
14,1,c 2310,s 3102,3,1,1.0,5.0,1.0,5
14,2,c 2310,s 3102,1,0,1.0,1.0,1.0,1
14,2,c 2310,s 3102,1,0,0.9107142857142857,1.8214285714285714,0.9107142857142857,2
14,2,c 2310,s 3102,1,0,1.0,1.9107142857142856,0.9553571428571428,2
15,1,c 3201,s 2031,1,1,0.5892857142857143,0,0,0
15,1,c 3201,s 2031,1,1,0,0,0,0
15,1,c 3201,s 2031,1,1,0,0,0,0
15,1,c 3201,s 2031,0,3,1.0,1.0,1.0,1
15,1,c 3201,s 2031,0,3,0,0,0,0
15,1,c 3201,s 2031,0,3,0,0,0,0
15,2,c 3201,s 2031,0,3,1.0,1.0,1.0,1
15,2,c 3201,s 2031,0,3,1.0,1.0,1.0,1
15,2,c 3201,s 2031,0,3,0.8214285714285714,3.2857142857142856,0.8214285714285714,4
15,2,c 3201,s 2031,3,2,1.0,1.0,1.0,1
15,2,c 3201,s 2031,3,2,0.8571428571428571,0.8571428571428571,0.8571428571428571,1
15,2,c 3201,s 2031,3,2,1.0,2.0,1.0,2
15,2,c 3201,s 2031,2,0,1.0,3.0,1.0,3
15,2,c 3201,s 2031,2,0,1.0,2.0,1.0,2
15,2,c 3201,s 2031,2,0,0.6964285714285714,0,0,0
15,2,c 3201,s 2031,1,1,1.0,2.0,1.0,2
15,2,c 3201,s 2031,1,1,0,0,0,0
15,2,c 3201,s 2031,1,1,0,0,0,0
15,1,c 3201,s 2031,2,0,1.0,1.0,1.0,1
15,1,c 3201,s 2031,2,0,1.0,1.0,1.0,1
15,1,c 3201,s 2031,2,0,0.6964285714285714,0,0,0
15,1,c 3201,s 2031,3,2,1.0,1.0,1.0,1
15,1,c 3201,s 2031,3,2,0,0,0,0
15,1,c 3201,s 2031,3,2,0.6428571428571428,0,0,0
16,1,c 0123,s 0312,3,2,0.4642857142857143,0,0,0
16,1,c 0123,s 0312,3,2,0,0,0,0
16,1,c 0123,s 0312,3,2,0,0,0,0
16,2,c 0123,s 0312,0,0,1.0,6.0,1.0,6
16,2,c 0123,s 0312,0,0,1.0,1.0,1.0,1
16,2,c 0123,s 0312,0,0,1.0,3.0,1.0,3
16,1,c 0123,s 0312,1,3,0.6428571428571428,0,0,0
16,1,c 0123,s 0312,1,3,0,0,0,0
16,1,c 0123,s 0312,1,3,0.8214285714285714,0.8214285714285714,0.8214285714285714,1
16,1,c 0123,s 0312,2,1,0.3571428571428571,0,0,0
16,1,c 0123,s 0312,2,1,0,0,0,0
16,1,c 0123,s 0312,2,1,0.4464285714285714,0,0,0
16,2,c 0123,s 0312,2,1,0.5178571428571428,0,0,0
16,2,c 0123,s 0312,2,1,0,0,0,0
16,2,c 0123,s 0312,2,1,0.9107142857142857,0.9107142857142857,0.9107142857142857,1
16,1,c 0123,s 0312,0,0,1.0,1.0,1.0,1
16,1,c 0123,s 0312,0,0,1.0,3.0,1.0,3
16,1,c 0123,s 0312,0,0,0.9107142857142857,0.9107142857142857,0.9107142857142857,1
16,2,c 0123,s 0312,1,3,1.0,1.0,1.0,1
16,2,c 0123,s 0312,1,3,0,0,0,0
16,2,c 0123,s 0312,1,3,0,0,0,0
16,2,c 0123,s 0312,3,2,1.0,2.0,1.0,2
16,2,c 0123,s 0312,3,2,0,0,0,0
16,2,c 0123,s 0312,3,2,1.0,5.0,1.0,5
18,1,c 0321,s 1203,1,3,1.0,1.0,1.0,1
18,1,c 0321,s 1203,1,3,0,0,0,0
18,1,c 0321,s 1203,1,3,0.5714285714285714,0,0,0
18,2,c 0321,s 1203,3,2,1.0,6.0,1.0,6
18,2,c 0321,s 1203,3,2,1.0,1.0,1.0,1
18,2,c 0321,s 1203,3,2,1.0,1.0,1.0,1
18,1,c 0321,s 1203,0,1,1.0,4.0,1.0,4
18,1,c 0321,s 1203,0,1,0,0,0,0
18,1,c 0321,s 1203,0,1,0,0,0,0
18,1,c 0321,s 1203,3,2,1.0,3.0,1.0,3
18,1,c 0321,s 1203,3,2,0,0,0,0
18,1,c 0321,s 1203,3,2,1.0,2.0,1.0,2
18,1,c 0321,s 1203,2,0,1.0,5.0,1.0,5
18,1,c 0321,s 1203,2,0,0,0,0,0
18,1,c 0321,s 1203,2,0,1.0,2.0,1.0,2
18,2,c 0321,s 1203,2,0,1.0,3.0,1.0,3
18,2,c 0321,s 1203,2,0,1.0,2.0,1.0,2
18,2,c 0321,s 1203,2,0,1.0,2.0,1.0,2
18,2,c 0321,s 1203,0,1,1.0,3.0,1.0,3
18,2,c 0321,s 1203,0,1,1.0,2.0,1.0,2
18,2,c 0321,s 1203,0,1,0,0,0,0
18,2,c 0321,s 1203,1,3,1.0,1.0,1.0,1
18,2,c 0321,s 1203,1,3,1.0,1.8571428571428572,0.9285714285714286,2
18,2,c 0321,s 1203,1,3,1.0,2.0,1.0,2
19,1,c 3210,s 0231,3,0,1.0,1.0,1.0,1
19,1,c 3210,s 0231,3,0,0,0,0,0
19,1,c 3210,s 0231,3,0,0,0,0,0
19,2,c 3210,s 0231,2,2,0,0,0,0
19,2,c 3210,s 0231,2,2,0,0,0,0
19,2,c 3210,s 0231,2,2,0,0,0,0
19,1,c 3210,s 0231,2,2,1.0,2.0,1.0,2
19,1,c 3210,s 0231,2,2,0,0,0,0
19,1,c 3210,s 0231,2,2,0,0,0,0
19,2,c 3210,s 0231,0,1,0,0,0,0
19,2,c 3210,s 0231,0,1,0,0,0,0
19,2,c 3210,s 0231,0,1,0,0,0,0
19,1,c 3210,s 0231,1,3,1.0,2.0,1.0,2
19,1,c 3210,s 0231,1,3,0,0,0,0
19,1,c 3210,s 0231,1,3,0,0,0,0
19,2,c 3210,s 0231,1,3,1.0,3.0,1.0,3
19,2,c 3210,s 0231,1,3,0,0,0,0
19,2,c 3210,s 0231,1,3,0,0,0,0
19,2,c 3210,s 0231,3,0,0,0,0,0
19,2,c 3210,s 0231,3,0,0,0,0,0
19,2,c 3210,s 0231,3,0,0,0,0,0
19,1,c 3210,s 0231,0,1,1.0,1.0,1.0,1
19,1,c 3210,s 0231,0,1,0,0,0,0
19,1,c 3210,s 0231,0,1,1.0,1.0,1.0,1
